"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.313398000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.306626300E-2,9.552285075E-3,2.428989857E-3,-9.571075439E-3
1.781933600E-2,-3.190159798E-3,1.758141071E-2,-9.570121765E-3
2.257240900E-2,-2.421092242E-3,-8.381202817E-3,-3.589248657E-2
2.732542900E-2,5.689825863E-3,-2.910386771E-3,-1.722812653E-2
3.207850200E-2,2.469784394E-2,9.503453970E-3,-3.030872345E-2
3.683152300E-2,2.528814599E-2,-8.249379694E-3,-2.187824249E-2
4.158459600E-2,-1.140551642E-2,3.466918319E-2,1.794815063E-3
4.633761700E-2,-5.867138505E-3,1.376377791E-2,1.435661316E-2
5.109069000E-2,1.622088999E-2,2.527052164E-2,8.613586426E-3
5.584371100E-2,1.906280965E-2,5.584135652E-3,7.830619812E-3
6.059678400E-2,-1.078508794E-4,2.267979085E-2,1.156520844E-2
6.534975200E-2,-1.345351338E-4,1.211386919E-2,1.067543030E-2
7.010287700E-2,1.317174733E-2,1.126216352E-2,-2.563858032E-2
7.485595000E-2,-1.454134658E-2,-7.394589484E-3,-2.839374542E-2
7.960897100E-2,-1.361438632E-2,-1.145868003E-2,-2.213382721E-2
8.436204400E-2,-1.729905047E-2,-1.532886550E-2,1.689910889E-3
8.911506500E-2,1.526466385E-2,3.615863621E-3,3.775310516E-2
9.386813800E-2,-8.189264685E-3,-2.829674259E-2,4.029273987E-3
9.862115900E-2,5.823299289E-3,4.103928804E-4,8.375167847E-3
1.033742310E-1,-8.108854294E-3,4.962757230E-3,3.417968750E-3
1.081272520E-1,-1.691224240E-2,1.383274049E-2,-1.303672791E-3
1.128803250E-1,2.097129822E-3,-5.064763129E-3,-1.955795288E-2
1.176333460E-1,-2.612799406E-3,-2.323931828E-2,-1.874256134E-2
1.223864190E-1,1.129293442E-2,-1.316197589E-2,4.978179932E-3
1.271394400E-1,1.619007438E-3,5.709849298E-3,4.787445068E-3
1.318925130E-1,6.130967289E-3,8.491799235E-4,4.611015320E-3
1.366455860E-1,-3.353983164E-3,5.447909236E-3,-2.785587311E-2
1.413986060E-1,-2.170214988E-2,1.908102632E-2,5.448341370E-3
1.461516790E-1,-2.455554903E-3,1.383321732E-2,9.893417358E-3
1.509047000E-1,2.273641527E-3,8.770085871E-3,9.573936462E-3
1.556577730E-1,1.607417315E-2,-8.172094822E-4,2.318382263E-2
1.604107940E-1,2.488708496E-2,2.242509276E-2,1.783943176E-2
1.651638670E-1,1.023920625E-2,1.713506132E-2,1.731491089E-2
1.699168880E-1,-3.925252706E-3,1.206636429E-2,2.146911621E-2
1.746699610E-1,5.452807993E-3,2.570352703E-2,-7.043838501E-3
1.794229810E-1,6.679445505E-4,-1.688342914E-2,2.458572388E-3
1.841760540E-1,1.464831829E-2,6.873883307E-3,-2.264976501E-3
1.889290750E-1,9.629074484E-3,2.536360919E-2,-2.206802368E-3
1.936821480E-1,4.685401917E-3,1.413993537E-3,2.512931824E-3
1.984352210E-1,4.534155130E-3,2.006970346E-2,2.451896667E-3
2.031882420E-1,-2.266205847E-4,2.427805215E-2,1.640796661E-2
2.079413150E-1,-4.932254553E-3,-4.318386316E-3,1.135349274E-2
2.126943360E-1,-1.426643133E-2,5.147799850E-3,6.418228149E-3
2.174474090E-1,-4.064291716E-6,2.844417840E-2,-3.115844727E-2
2.222004290E-1,-9.403802454E-3,3.252172470E-2,-2.580070496E-2
2.269535020E-1,-9.239871055E-3,-1.031056792E-2,-2.525138855E-2
2.317065750E-1,-2.314090915E-2,3.975890577E-3,-1.066684723E-2
2.364595960E-1,9.913218766E-2,3.179444671E-1,8.304595947E-3
2.412126690E-1,1.345868856E-1,7.993475199E-1,1.751708984E-2
2.459656900E-1,2.491636425E-1,1.257555246E0,2.186584473E-2
2.507187630E-1,3.006767631E-1,1.524438620E0,2.613830566E-2
2.554717840E-1,3.795090616E-1,1.876060128E0,2.564430237E-2
2.602248560E-1,2.691473365E-1,2.010413170E0,-7.709503174E-3
2.649778770E-1,-1.759737357E-2,1.983313799E0,-4.516029358E-2
2.697309500E-1,-3.180315495E-1,1.830451846E0,-1.145458221E-2
2.744839710E-1,-5.332810283E-1,1.690322995E0,-4.887199402E-2
2.792370440E-1,-4.627640247E-1,1.666010618E0,-2.922153473E-2
2.839900650E-1,-5.395164490E-1,1.576690912E0,-3.343486786E-2
2.887431380E-1,-4.081227481E-1,1.559959412E0,-1.876449585E-2
2.934962110E-1,-3.637203574E-1,1.689747810E0,-1.845741272E-2
2.982492310E-1,-1.034930646E-1,1.945135951E0,-3.700065613E-2
3.030023040E-1,-3.138072193E-1,2.065161228E0,1.067447662E-2
3.077553250E-1,-4.031376541E-1,1.924677134E0,1.079559326E-3
3.125083980E-1,-3.168812692E-1,1.702005863E0,-8.376216888E-2
3.172614190E-1,-9.054548293E-2,1.553749800E0,-3.065299988E-2
3.220144920E-1,3.291007519E0,1.304516196E-1,-6.319522858E-2
3.267675130E-1,6.775130033E-1,2.700068951E-1,-3.397560120E-2
3.315205860E-1,-1.629071951E0,1.421605825E0,-2.405166626E-2
3.362736060E-1,-1.374563813E0,1.500433922E0,8.950138092E-2
3.410266790E-1,3.152890205E-1,9.132943749E-1,1.273727417E-2
3.457797000E-1,2.628142834E0,-4.776066542E-2,3.142452240E-2
3.505327730E-1,-1.750747323E0,1.067109823E0,-6.782531738E-3
3.552858460E-1,-1.109061360E0,1.558102131E0,2.161693573E-2
3.600388670E-1,2.225039959E0,1.037003756E0,2.131557465E-2
3.647919400E-1,2.307017297E-1,1.004725456E0,-3.565311432E-2
3.695449610E-1,-2.805393219E0,1.761901855E0,1.202774048E-2
3.742980340E-1,1.401893198E-1,1.356902122E0,4.964923859E-2
3.790510540E-1,3.393580437E0,4.989125729E-1,-7.698059082E-3
3.838041270E-1,-4.078575134E0,2.147031784E0,3.963661194E-2
3.885570960E-1,9.578985572E-1,1.355131149E0,2.494335175E-2
3.933102210E-1,2.458511114E0,7.196383476E-1,-3.683948517E-2
3.980632420E-1,-5.354213715E0,2.451231241E0,-8.051872253E-3
4.028163150E-1,1.284866047E1,-2.802779675E0,-1.271438599E-2
4.075693880E-1,-7.194993973E0,2.815980673E0,1.578998566E-2
4.123224090E-1,-5.201388359E0,3.360805273E0,-8.080482483E-3
4.170754810E-1,9.173115730E0,4.898613691E-2,-5.060005188E-2
4.218285020E-1,-5.466552258E0,3.398630857E0,1.989364624E-3
4.265815750E-1,6.485757351E0,6.921018362E-1,-4.539108276E-2
4.313345960E-1,-3.965409279E0,2.544807434E0,-1.179981232E-2
4.360876690E-1,-2.252900600E-2,1.812128663E0,7.821464539E-2
4.408407420E-1,-1.414920449E0,1.906501055E0,-5.048084259E-2
4.455937110E-1,-2.149265766E0,2.184782028E0,-6.418228149E-2
4.503468360E-1,8.219240308E-1,1.574915886E0,-6.354331970E-2
4.550998560E-1,4.236279726E-1,1.269868255E0,-7.237911224E-2
4.598529290E-1,5.740345120E-1,8.733741045E-1,-3.850078583E-2
4.646059500E-1,9.268493652E-1,3.296200037E-1,-4.288005829E-2
4.693590230E-1,1.134024024E0,-4.270017147E-2,4.880905151E-3
4.741120440E-1,1.169084907E0,-1.317612529E-1,-2.837753296E-2
4.788651170E-1,1.095046639E0,-3.147075176E-1,7.609176636E-2
4.836181380E-1,1.036701322E0,-4.485627413E-1,7.529258728E-2
4.883712110E-1,8.180199862E-1,-6.950110197E-1,6.978416443E-2
4.931242840E-1,7.245427370E-1,-1.029147029E0,-2.570915222E-2
4.978773040E-1,8.074298501E-1,-1.331819057E0,1.717185974E-2
5.026303770E-1,8.188096881E-1,-1.408871770E0,-7.782745361E-2
5.073833980E-1,7.641247511E-1,-1.565780401E0,-1.150722504E-1
5.121364710E-1,7.102507353E-1,-1.631374598E0,6.136894226E-2
5.168894920E-1,6.333098412E-1,-1.919488788E0,4.180049896E-2
5.216425650E-1,3.722934723E-1,-1.802089214E0,1.125068665E-1
5.263955860E-1,9.151935577E-3,-1.387198448E0,-2.606391907E-2
5.311486590E-1,-2.369094938E-1,-9.002568722E-1,2.156543732E-2
5.359016790E-1,-4.526990652E-1,-5.030816793E-1,-2.608013153E-2
5.406547520E-1,-5.243560076E-1,-4.272426665E-1,2.155685425E-2
5.454077730E-1,-7.709744573E-1,-4.897074401E-1,-3.083419800E-2
5.501608460E-1,-9.017817974E-1,-3.903450966E-1,-6.867408752E-3
5.549139190E-1,-9.795020223E-1,-5.242593884E-1,-2.090454102E-3
5.596669400E-1,-8.764276505E-1,-9.133736491E-1,1.688957214E-2
5.644200130E-1,-6.983916163E-1,-1.256475329E0,3.570270538E-2
5.691730340E-1,-5.503420830E-1,-1.705748320E0,6.890296936E-3
5.739261060E-1,-3.748809695E-1,-1.828627825E0,-4.067230225E-2
5.786791270E-1,-2.676589787E-1,-1.860560179E0,4.506111145E-2
5.834322000E-1,-2.042894959E-1,-2.248288870E0,4.465866089E-2
5.881852210E-1,-1.457953453E-1,-2.452591658E0,-5.067920685E-2
5.929382940E-1,2.626356483E-2,-2.883227110E0,5.886650085E-2
5.976913670E-1,2.160534710E-1,-3.002109528E0,5.835819244E-2
6.024443880E-1,1.625004113E-1,-3.367315769E0,2.938461304E-2
6.071974610E-1,2.470627129E-1,-3.530415535E0,-5.633640289E-2
6.119504810E-1,2.120858729E-1,-3.602443218E0,1.055355072E-1
6.167035540E-1,2.251732349E-1,-3.498407602E0,2.397727966E-2
6.214565750E-1,4.354445636E-2,-3.537810802E0,1.902484894E-2
6.262095960E-1,-2.081463933E-1,-3.192452908E0,4.261112213E-2
6.309626690E-1,-5.100694895E-1,-2.835698128E0,5.652427673E-2
6.357157420E-1,-9.951483011E-1,-2.572010756E0,3.708934784E-2
6.404688150E-1,-1.049201488E0,-2.248665571E0,7.955169678E-2
6.452218360E-1,-9.888615608E-1,-2.127332211E0,2.945899963E-3
6.499749090E-1,-1.005021214E0,-2.125756025E0,5.991840363E-2
6.547279290E-1,-1.035369873E0,-2.452092409E0,7.210731506E-3
6.594810020E-1,-8.042243123E-1,-2.491185904E0,7.148742676E-3
6.642340230E-1,-8.029903173E-1,-2.834200144E0,-2.141857147E-2
6.689870960E-1,-6.879181266E-1,-3.065677643E0,3.099536896E-2
6.737401170E-1,-5.308895707E-1,-3.243398428E0,5.452919006E-2
6.784931900E-1,-5.175705552E-1,-3.405771971E0,5.889320374E-2
6.832462630E-1,-3.379418254E-1,-3.262980938E0,3.471279144E-2
6.879992840E-1,-3.022677302E-1,-3.083378315E0,1.342678070E-1
6.927523560E-1,-1.575408578E-1,-3.152301073E0,5.017280579E-3
6.975053770E-1,1.192270070E-1,-3.230467796E0,9.734153748E-3
7.022584500E-1,2.087644935E-1,-3.289190054E0,1.441669464E-2
7.070114710E-1,1.407948285E-1,-3.404767990E0,5.709934235E-2
7.117645440E-1,3.525028005E-2,-3.186980724E0,4.720878601E-2
7.165175650E-1,-1.261240616E-2,-2.856755972E0,1.837253571E-2
7.212706380E-1,-8.388490975E-2,-2.505074978E0,1.825141907E-2
7.260237110E-1,-8.814451844E-2,-2.036962986E0,1.813220978E-2
7.307767310E-1,-8.763515949E-2,-1.852505445E0,1.325988770E-2
7.355298040E-1,-1.346324682E-1,-1.750207663E0,2.743911743E-2
7.402828250E-1,-9.575759619E-2,-1.705641747E0,8.243560791E-3
7.450358980E-1,4.270828888E-2,-1.628145337E0,1.294422150E-2
7.497889190E-1,2.341903001E-2,-1.575039268E0,-2.042293549E-2
7.545419920E-1,6.606022269E-2,-1.484286189E0,3.484725952E-3
7.592950130E-1,2.035349756E-1,-1.446412563E0,3.462791443E-3
7.640480860E-1,3.116151690E-1,-1.437362909E0,3.197479248E-2
7.688010540E-1,3.714713752E-1,-1.447445989E0,1.275157928E-2
7.735541790E-1,4.071898758E-1,-1.333862185E0,2.694225311E-2
7.783072520E-1,7.177104056E-2,-1.698869169E-1,7.752418518E-3
7.830602730E-1,9.518634528E-3,-1.198672503E-2,-1.808166504E-3
7.878133460E-1,4.723563790E-3,-2.616920881E-2,2.960205078E-3
7.925663670E-1,-4.799261689E-3,-3.081049956E-2,2.942085266E-3
7.973194400E-1,-2.842237428E-2,7.444694638E-3,-1.833915710E-3
8.020724610E-1,-4.239157587E-2,2.601098269E-3,-2.085208893E-2
8.068255340E-1,-1.352058351E-2,-2.156823874E-3,-6.457328796E-3
8.115786060E-1,-2.287985384E-2,2.571228892E-3,-1.593494415E-2
8.163316270E-1,-2.272678912E-2,1.678704470E-2,-6.325721741E-3
8.210847000E-1,-2.251818031E-2,2.140481770E-2,-1.580524445E-2
8.258377210E-1,-1.755355671E-2,2.123863250E-2,-6.196975708E-3
8.305907940E-1,-3.170783073E-2,2.113137022E-2,8.112907410E-3
8.353438150E-1,1.607561484E-2,6.693586707E-3,-1.096725464E-2
8.400968880E-1,-2.206409350E-2,3.040568903E-2,2.240467072E-2
8.448499090E-1,-7.644344121E-3,1.121427491E-2,2.227783203E-2
8.496029810E-1,-2.823371440E-3,3.014417365E-2,1.263427734E-2
8.543560020E-1,-3.610070050E-2,2.047275752E-2,-1.712799072E-3
8.591090750E-1,-3.112181462E-2,1.561475545E-2,1.257324219E-2
8.638621480E-1,-1.665298641E-2,1.265667379E-3,2.202320099E-2
8.686151690E-1,-2.264168113E-3,-3.485832363E-3,-6.652832031E-3
8.733682420E-1,-2.232525498E-3,-3.451984376E-3,-1.857757568E-3
8.781212630E-1,2.159706131E-2,1.562011987E-2,2.195072174E-2
8.828743360E-1,-2.356246114E-3,6.030935794E-3,-1.148700714E-2
8.876273560E-1,2.435311675E-3,-1.308298483E-2,-6.664276123E-3
8.923804290E-1,-1.659865305E-2,6.041992456E-3,-1.869201660E-3
8.971334500E-1,3.111199662E-2,-4.157850891E-2,-1.613903046E-2
9.018865230E-1,1.063910484E0,-2.889486551E-1,-1.772880554E-3
9.066395440E-1,2.881612539E0,-8.777427673E-1,2.997398376E-3
9.113926170E-1,2.409502745E0,-1.001721859E0,-1.779556274E-3
9.161456900E-1,1.673314452E0,-7.538124323E-1,2.992630005E-3
9.208987110E-1,1.397965431E0,-5.309557319E-1,2.202129364E-2
9.256517840E-1,1.347835422E0,-2.664114237E-1,4.095268250E-2
9.304048040E-1,1.278894186E0,-1.032679528E-1,1.217746735E-2
9.351578770E-1,1.338946700E0,3.523629531E-2,-2.166748047E-3
9.399108980E-1,1.232137680E0,1.350063384E-1,-2.155303955E-3
9.446639710E-1,1.192559600E0,2.438015491E-1,-4.499721527E-2
9.494169920E-1,8.913217187E-1,2.758184671E-1,3.141593933E-2
9.541700650E-1,1.096240401E0,2.410192490E-1,1.697635651E-2
9.589231380E-1,9.669518471E-1,2.540769279E-1,-1.167869568E-2
9.636761590E-1,9.858913422E-1,2.052263618E-1,1.218891144E-2
9.684292310E-1,1.138099074E0,7.561060041E-2,-1.167869568E-2
9.731822520E-1,9.419476986E-1,7.997734845E-2,5.028820038E-2
9.779353250E-1,1.127761006E0,8.908003569E-2,-7.101058960E-3
9.826883460E-1,1.160303593E0,1.076579094E-1,-1.659011841E-2
9.874414190E-1,1.111754179E0,1.166196391E-1,-1.174545288E-2
9.921944920E-1,9.920262694E-1,1.731011271E-1,4.070186615E-2
9.969475130E-1,1.092041373E0,1.579150558E-1,7.169723511E-3
1.001700586E0,1.167792678E0,1.475586146E-1,-1.191520691E-2
1.006453606E0,1.290899634E0,1.373042762E-1,-2.138519287E-2
1.011206679E0,1.480083346E0,1.651351452E-1,7.295608521E-3
1.015959700E0,1.496882319E0,2.976188660E-1,-2.264022827E-3
1.020712773E0,1.546982169E0,3.294454217E-1,7.275581360E-3
1.025465794E0,1.673158407E0,3.468205333E-1,-7.046699524E-3
1.030218867E0,1.698699832E0,3.593997657E-1,2.633190155E-2
1.034971836E0,1.719458222E0,2.337060720E-1,2.393722534E-3
1.039724961E0,1.539969444E0,2.657907009E-1,3.573131561E-2
1.044478034E0,1.742497087E0,2.119668722E-1,-3.588485718E-2
1.049231054E0,1.715479374E0,1.678913236E-1,7.156372070E-3
1.053984127E0,1.550407767E0,1.478296369E-1,-5.004024506E-2
1.058737148E0,1.271658897E0,1.230969429E-1,1.212501526E-2
1.063490221E0,1.308739543E0,1.461007148E-1,1.683998108E-2
1.068243242E0,1.317044735E0,1.165645570E-1,4.059123993E-2
1.072996315E0,9.441343546E-1,2.521170676E-2,2.304077148E-3
1.077749336E0,1.035052299E0,-8.959002793E-2,-2.628517151E-2
1.082502409E0,1.101717949E0,-1.943484992E-1,-1.663112640E-2
1.087255481E0,9.013503790E-1,-2.510793209E-1,4.539108276E-2
1.092008502E0,6.159945130E-1,-3.028632700E-1,-4.056072235E-2
1.096761575E0,7.560172081E-1,-2.734847367E-1,-3.084373474E-2
1.101514596E0,6.954320669E-1,-2.060554624E-1,1.218128204E-2
1.106267669E0,8.780224323E-1,-2.151651084E-1,-1.644897461E-2
1.111020690E0,1.074313164E0,-2.384376526E-1,1.698207855E-2
1.115773763E0,1.017175317E0,-2.855828702E-1,2.621650696E-3
1.120526836E0,7.649843693E-1,-3.038668334E-1,-3.074264526E-2
1.125279856E0,7.664995193E-1,-4.318231642E-1,-6.780624390E-3
1.130032929E0,3.106497526E-1,-4.401100278E-1,7.543563843E-3
1.134785950E0,4.379453063E-1,-3.721923530E-1,2.181339264E-2
1.139539023E0,6.077251434E-1,-3.236716092E-1,-2.104759216E-3
1.144292044E0,5.100464821E-1,-3.086984754E-1,-6.863594055E-3
1.149045117E0,3.888386488E-1,-2.460877001E-1,2.696990967E-3
1.153798138E0,4.158805907E-1,-1.695083082E-1,2.651691437E-2
1.158551211E0,3.998132944E-1,-8.850283921E-2,1.211547852E-2
1.163304284E0,2.502592504E-1,-6.022437289E-2,-2.222061157E-3
1.168057304E0,2.585465312E-1,-8.299544454E-3,7.331848145E-3
1.172810377E0,1.667134762E-1,1.959741861E-2,-3.558158875E-2
1.177563398E0,1.659260392E-1,5.217169225E-2,-4.496288300E-2
1.182316471E0,1.891466081E-1,5.126664788E-2,3.148174286E-2
1.187069440E0,1.408362687E-1,6.944964081E-2,1.228809357E-2
1.191822565E0,-3.363809288E-1,4.945990443E-2,-2.112197876E-2
1.196575586E0,-3.495750427E-1,-3.842964768E-3,5.047225952E-2
1.201328659E0,-2.101346105E-1,-6.173518300E-2,-1.644992828E-2
1.206081731E0,-2.473898381E-1,-1.288114935E-1,1.698398590E-2
1.210834752E0,-4.798897803E-1,-1.001953930E-1,2.615928650E-3
1.215587825E0,-3.636818826E-1,-2.533532679E-4,3.121185303E-2
1.220340846E0,-4.480934739E-1,9.462539107E-2,-2.275466919E-3
1.225093919E0,-3.986528516E-1,1.700380892E-1,6.447410583E-2
1.229846940E0,-3.384117782E-1,1.349781603E-1,5.919456482E-2
1.234600013E0,-6.392949820E-1,1.145785004E-1,5.395698547E-2
1.239353034E0,-5.437713265E-1,1.085369140E-1,-1.767826080E-2
1.244106106E0,-4.726576805E-1,1.784826517E-1,-1.753330231E-2
1.248859179E0,-3.973901570E-1,1.956522018E-1,-3.152847290E-3
1.253612200E0,-4.556339979E-1,3.076205850E-1,6.362915039E-3
1.258365273E0,-4.185953140E-1,3.996540904E-1,2.529430389E-2
1.263118294E0,-3.437898755E-1,4.720293880E-1,-3.661346436E-2
1.267871367E0,-2.411337495E-1,4.489035010E-1,1.114559174E-2
1.272624388E0,-5.664534569E-1,3.928249478E-1,5.376243591E-2
1.277377461E0,-6.327975392E-1,3.514870405E-1,-2.262115479E-2
1.282130481E0,-5.372398496E-1,2.820524871E-1,-3.667259216E-2
1.286883554E0,-6.830627322E-1,2.188796848E-1,2.067947388E-2
1.291636627E0,-1.028737307E0,2.418617010E-1,-3.660774231E-2
1.296389648E0,-7.769230604E-1,2.457569242E-1,-7.867813110E-3
1.301142721E0,-8.266076446E-1,2.782054543E-1,-4.598236084E-2
1.305895742E0,-1.066737175E0,1.723263562E-1,-7.669448853E-3
1.310648815E0,-1.062709808E0,4.775200039E-2,3.049850464E-2
1.315401888E0,-1.492744923E0,4.279247671E-2,6.546020508E-3
1.320154909E0,-1.506349802E0,-4.795575514E-2,-3.639507294E-2
1.324907929E0,-1.448402166E0,-8.389353752E-5,3.526020050E-2
1.329661002E0,-1.457442641E0,7.623516768E-2,-7.783889771E-3
1.334414075E0,-1.351798415E0,1.714199036E-1,-1.253414154E-2
1.339167096E0,-1.327790499E0,2.376141399E-1,3.519248962E-2
1.343920169E0,-1.499462366E0,2.083300948E-1,-7.852554321E-3
1.348673190E0,-1.470319152E0,2.029436529E-1,1.601696014E-2
1.353426263E0,-1.775008202E0,2.453468740E-1,-3.119468689E-3
1.358179336E0,-1.906868339E0,2.733222246E-1,2.549743652E-2
1.362932356E0,-1.952572346E0,2.630094290E-1,8.740043640E-2
1.367685429E0,-1.602260947E0,1.907385886E-1,-1.179742813E-1
1.372438450E0,-1.644418359E0,2.810920030E-2,1.596736908E-2
1.377191523E0,-1.734082818E0,-1.435563862E-1,6.372451782E-3
1.381944544E0,-2.276417017E0,-3.431841135E-1,-1.273155212E-2
1.386697617E0,-1.925074220E0,-4.229029715E-1,-1.269245148E-2
1.391450638E0,-1.708492160E0,-4.451330602E-1,5.888557434E-2
1.396203711E0,-1.821803808E0,-4.196680784E-1,2.052688599E-2
1.400956731E0,-1.429132819E0,-4.610261619E-1,-8.162498474E-3
1.405709804E0,-1.891594529E0,-3.257785439E-1,-7.014083862E-2
1.410462877E0,-1.508371830E0,-3.294290006E-1,3.502368927E-2
1.415215898E0,-1.522268057E0,-3.616366982E-1,1.105594635E-2
1.419968971E0,-1.989250660E0,-3.316704035E-1,6.247520447E-3
1.424721992E0,-1.629660010E0,-3.828946352E-1,3.961277008E-2
1.429475065E0,-1.595509648E0,-3.337927461E-1,1.562976837E-2
1.434228086E0,-1.256279826E0,-3.945696354E-1,4.419517517E-2
1.438981159E0,-1.848240376E0,-3.168841004E-1,-2.750015259E-2
1.443734179E0,-1.527220845E0,-2.633173168E-1,-1.787185669E-2
1.448487252E0,-1.517424345E0,-2.814905643E-1,1.109743118E-1
1.453240325E0,-1.936971307E0,-3.663319051E-1,5.670547485E-3
1.457993346E0,-1.754205465E0,-3.794061542E-1,-3.250885010E-2
1.462746419E0,-2.020327091E0,-3.160613775E-1,9.880065918E-4
