"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.956364900E-2,2.591723204E-1,1.197699428E0,1.009515190E1
2.156182600E-2,2.352303118E-1,1.231218219E0,1.015740108E1
2.355974300E-2,2.352303118E-1,1.298255920E0,1.015740108E1
2.555766000E-2,2.448071241E-1,1.394023895E0,1.013824749E1
2.755557600E-2,2.448071241E-1,1.470638394E0,1.011430550E1
2.955349300E-2,2.064998895E-1,1.537676096E0,1.015740108E1
3.155141000E-2,2.256535143E-1,1.604713678E0,1.011430550E1
3.354932600E-2,2.112883031E-1,1.638232470E0,9.980229378E0
3.554724300E-2,1.729810685E-1,1.643020868E0,9.922768593E0
3.754516000E-2,1.586158574E-1,1.657386184E0,9.846154213E0
3.954307600E-2,1.586158574E-1,1.657386184E0,9.759963036E0
4.154099300E-2,1.681926697E-1,1.690904975E0,9.673771858E0
4.353891000E-2,1.873462796E-1,1.681328177E0,9.668983459E0
4.553682600E-2,2.543839216E-1,1.724423766E0,9.587580681E0
4.753474300E-2,3.022679687E-1,1.781884670E0,9.582792282E0
4.953271200E-2,3.214215636E-1,1.815403461E0,9.668983459E0
5.153073300E-2,3.357867897E-1,1.781884670E0,9.736021042E0
5.352880600E-2,3.549404144E-1,1.810615063E0,9.860519409E0
5.552693100E-2,4.028244317E-1,1.906383157E0,9.803058624E0
5.752505600E-2,3.501519859E-1,1.858499050E0,9.755174637E0
5.952318100E-2,2.879027426E-1,1.887229443E0,9.774328232E0
6.152130600E-2,2.400187254E-1,1.901594758E0,9.726444244E0
6.351943100E-2,2.352303118E-1,1.997362733E0,9.745597839E0
6.551755600E-2,2.448071241E-1,2.126649618E0,9.750386238E0
6.751557600E-2,2.687491477E-1,2.270301819E0,9.755174637E0
6.951338900E-2,2.879027426E-1,2.361281395E0,9.726444244E0
7.151120100E-2,2.208651006E-1,2.275090218E0,9.668983459E0
7.350901400E-2,2.064998895E-1,2.246359825E0,9.783905029E0
7.550682600E-2,2.543839216E-1,2.457049608E0,9.980229378E0
7.750463900E-2,2.495955229E-1,2.543240786E0,9.927556992E0
7.950245100E-2,1.442506462E-1,2.428318977E0,9.678560257E0
8.150026400E-2,1.155202314E-1,2.423530579E0,9.606734276E0
8.349807600E-2,7.242459804E-2,2.490568399E0,9.874884605E0
8.549588900E-2,7.242459804E-2,2.504933596E0,9.850942612E0
8.749370100E-2,-4.189853091E-3,2.409165382E0,9.764751434E0
8.949151400E-2,-2.813187055E-2,2.519298792E0,9.884461403E0
9.148937800E-2,2.454056777E-2,2.639008760E0,9.850942612E0
9.348729500E-2,-1.376665942E-2,2.715623379E0,9.908403397E0
9.548521200E-2,5.985504249E-4,2.892794132E0,9.980229378E0
9.748312800E-2,5.985504249E-4,2.945466757E0,9.874884605E0
9.948104500E-2,-1.095347255E-1,2.840121746E0,9.908403397E0
1.014789620E-1,-8.080431074E-2,2.911947727E0,1.010951710E1
1.034768780E-1,-9.038111567E-2,2.916736126E0,1.011909389E1
1.054747950E-1,-3.770867735E-2,3.113060713E0,1.019091988E1
1.074727640E-1,-8.559270948E-2,3.036446333E0,9.989806175E0
1.094707850E-1,-1.574187577E-1,3.041234732E0,1.008078671E1
1.114688060E-1,-1.095347255E-1,3.213617325E0,1.020528507E1
1.134668260E-1,-1.574187577E-1,3.074753523E0,1.007599831E1
1.154648470E-1,-8.080431074E-2,3.223194122E0,1.022443867E1
1.174628680E-1,-5.686229095E-2,3.314173698E0,1.000417137E1
1.194608890E-1,-1.669955701E-1,3.223194122E0,9.980229378E0
1.214589100E-1,-1.622071713E-1,3.227982521E0,9.812635422E0
1.234569310E-1,-1.191115379E-1,3.232770920E0,9.759963036E0
1.254549510E-1,-1.143231317E-1,3.366846085E0,9.874884605E0
1.274529720E-1,-3.292027488E-2,3.448249102E0,9.673771858E0
1.294509930E-1,-9.995792061E-2,3.247136116E0,9.415198326E0
1.314490140E-1,-1.143231317E-1,3.295020103E0,9.606734276E0
1.334470350E-1,-8.559270948E-2,3.366846085E0,9.520543098E0
1.354450560E-1,-1.855506375E-2,3.395576477E0,9.261969566E0
1.374430760E-1,-1.191115379E-1,3.338115692E0,8.984241486E0
1.394410970E-1,-1.765723825E-1,3.041234732E0,9.204508781E0
1.414391180E-1,-9.516951442E-2,3.232770920E0,9.578003883E0
1.434371390E-1,8.200141042E-2,3.539228678E0,9.415198326E0
1.454351600E-1,1.203086376E-1,3.381211281E0,8.912415504E0
1.474331810E-1,-3.770867735E-2,3.074753523E0,8.783128738E0
1.494312010E-1,1.975216344E-2,3.304596901E0,9.324218750E0
1.514292220E-1,3.890577704E-2,3.247136116E0,8.835801125E0
1.534272430E-1,-1.376665942E-2,3.036446333E0,8.534132004E0
1.554252640E-1,1.059434265E-1,3.256712914E0,9.156624794E0
1.574232850E-1,1.681926697E-1,3.462614298E0,9.051279068E0
1.594213060E-1,1.250970364E-1,3.132214308E0,8.246828079E0
1.614193260E-1,4.848258570E-2,2.797026157E0,8.864531517E0
1.634173470E-1,3.118447661E-1,3.639785051E0,9.343372345E0
1.654153680E-1,4.028244317E-1,3.831321239E0,8.854954720E0
1.674134410E-1,3.262099922E-1,3.151367903E0,8.850166321E0
1.694115660E-1,2.543839216E-1,3.089118719E0,9.520543098E0
1.714097430E-1,2.974795699E-1,3.271078110E0,9.745597839E0
1.734079200E-1,2.400187254E-1,3.314173698E0,9.453505516E0
1.754060970E-1,1.729810685E-1,3.280654907E0,9.194931984E0
1.774042740E-1,1.059434265E-1,3.002927542E0,9.755174637E0
1.794024510E-1,6.763619930E-2,3.395576477E0,9.578003883E0
1.814006280E-1,1.394622475E-1,3.596689463E0,9.491812706E0
1.833988060E-1,8.678980917E-2,3.314173698E0,9.314641953E0
1.853969830E-1,5.386953708E-3,2.964620352E0,1.013824749E1
1.873951600E-1,5.985504249E-4,3.170521498E0,1.115338898E1
1.893933370E-1,-6.165069342E-2,3.682880878E0,9.879673004E0
1.913915140E-1,-3.010708690E-1,3.438672304E0,9.333795547E0
1.933896910E-1,-3.633201122E-1,3.074753523E0,1.065060616E1
1.953878680E-1,-4.351461530E-1,3.156156301E0,1.061229897E1
1.973860450E-1,-5.596446395E-1,3.285443306E0,9.534908295E0
1.993842220E-1,-6.554127336E-1,3.208828926E0,9.592369080E0
2.013820870E-1,-6.362590790E-1,2.993350744E0,9.807847023E0
2.033798470E-1,-5.979518890E-1,3.132214308E0,9.688137054E0
2.053776080E-1,-5.213374496E-1,3.170521498E0,9.779116631E0
2.073753680E-1,-5.452794433E-1,3.093907118E0,9.295488358E0
2.093731280E-1,-5.644330382E-1,2.811391354E0,9.783905029E0
2.113708890E-1,-4.734533727E-1,3.055599928E0,9.362525940E0
2.133686490E-1,-4.112041295E-1,3.266289711E0,9.338583946E0
2.153664100E-1,-4.590881765E-1,2.825756550E0,9.089587212E0
2.173641700E-1,-4.686649740E-1,2.706046581E0,9.822212219E0
2.193619310E-1,-3.776853085E-1,2.911947727E0,9.281123161E0
2.213596910E-1,-4.255693555E-1,2.964620352E0,8.797493935E0
2.233574510E-1,-4.734533727E-1,2.950255156E0,8.658630371E0
2.253552120E-1,-4.159925580E-1,2.935889721E0,8.390480042E0
2.273530240E-1,-4.016273320E-1,2.643797159E0,7.892486095E0
2.293508890E-1,-3.824737072E-1,2.801814556E0,8.189367294E0
2.313488060E-1,-1.382651478E-1,2.864063740E0,8.471882820E0
2.333467740E-1,5.386953708E-3,2.758718967E0,9.204508781E0
2.353447430E-1,6.284779310E-2,2.466626406E0,9.118317604E0
2.373427120E-1,1.107318252E-1,2.514510393E0,9.731232643E0
2.393406810E-1,1.203086376E-1,2.940678120E0,8.984241486E0
2.413386490E-1,3.890577704E-2,3.204040527E0,7.758410454E0
2.433366180E-1,5.985504249E-4,2.844910145E0,8.155848503E0
2.453345870E-1,-1.376665942E-2,3.007715940E0,8.921992302E0
2.473325560E-1,1.975216344E-2,3.065176725E0,9.664195061E0
2.493305240E-1,4.848258570E-2,2.629431963E0,1.047343540E1
2.513284930E-1,1.490390599E-1,2.490568399E0,1.168490124E1
2.533264100E-1,-1.376665942E-2,2.792237759E0,1.266652393E1
2.553239620E-1,-1.526303589E-1,3.338115692E0,1.300171280E1
2.573215140E-1,-4.064157307E-1,3.366846085E0,1.395939255E1
2.593190660E-1,-6.075286865E-1,3.850474834E0,1.379179859E1
2.613166180E-1,-7.368155718E-1,4.051588058E0,1.388277817E1
2.633141700E-1,-1.000177741E0,4.535216331E0,1.257554436E1
2.653117220E-1,-1.186925530E0,4.587889194E0,1.212064648E1
2.673093260E-1,-1.234809518E0,4.698022366E0,1.181418800E1
2.693069830E-1,-1.239597917E0,4.956595898E0,1.035372543E1
2.713046910E-1,-1.115099430E0,4.846462727E0,9.692925453E0
2.733024510E-1,-9.379284978E-1,4.396352768E0,9.463082314E0
2.753002640E-1,-8.373720646E-1,4.089895248E0,8.706514359E0
2.772981280E-1,-6.362590790E-1,3.620631456E0,8.605957985E0
2.792960450E-1,-3.824737072E-1,3.285443306E0,9.060855865E0
2.812940140E-1,-1.957259923E-1,3.156156301E0,9.060855865E0
2.832920350E-1,-1.855506375E-2,2.447472572E0,1.004247856E1
2.852901080E-1,7.242459804E-2,2.246359825E0,9.985017776E0
2.872881810E-1,6.284779310E-2,2.653373957E0,8.605957985E0
2.892862530E-1,4.369417951E-2,2.686892748E0,8.605957985E0
2.912843260E-1,4.848258570E-2,2.361281395E0,9.448717117E0
2.932823990E-1,1.346738487E-1,2.322974205E0,1.059793377E1
2.952804720E-1,2.112883031E-1,2.480991602E0,1.115338898E1
2.972785970E-1,1.250970364E-1,3.314173698E0,9.554061890E0
2.992767740E-1,-1.855506375E-2,3.721188068E0,8.682572365E0
3.012749510E-1,-5.686229095E-2,3.553593874E0,9.118317604E0
3.032731280E-1,-8.080431074E-2,3.309385300E0,9.740809441E0
3.052713060E-1,-1.382651478E-1,3.338115692E0,9.764751434E0
3.072694830E-1,-8.559270948E-2,3.481767893E0,9.510966301E0
3.092676600E-1,-9.995792061E-2,3.376422882E0,9.266757965E0
3.112658370E-1,-1.376665942E-2,2.888005733E0,1.076073933E1
3.132640140E-1,-8.080431074E-2,3.611054659E0,8.835801125E0
3.152619310E-1,-8.559270948E-2,3.046023130E0,9.515754700E0
3.172597950E-1,-6.643909961E-2,2.768295765E0,9.898826599E0
3.192576600E-1,-3.770867735E-2,2.974197149E0,9.659406662E0
3.212555240E-1,-4.189853091E-3,2.950255156E0,9.755174637E0
3.232533890E-1,-4.189853091E-3,2.955043554E0,9.434351921E0
3.252512530E-1,-5.207388848E-2,2.691681147E0,9.894038200E0
3.272491180E-1,-4.189853091E-3,2.816179752E0,9.788693428E0
3.292469830E-1,-1.376665942E-2,2.859275341E0,9.563638687E0
3.312448470E-1,5.386953708E-3,2.974197149E0,9.712079048E0
3.332427120E-1,2.932897024E-2,2.725200176E0,1.021007347E1
3.352406280E-1,-2.813187055E-2,2.581547976E0,1.034414864E1
3.372385970E-1,5.985504249E-4,2.619855165E0,1.002332497E1
3.392366180E-1,1.975216344E-2,3.022081137E0,9.515754700E0
3.412346910E-1,5.327098817E-2,3.328538895E0,9.333795547E0
3.432328160E-1,4.848258570E-2,3.146579504E0,9.855731010E0
3.452309930E-1,5.327098817E-2,3.089118719E0,1.011909389E1
3.472291700E-1,3.411737457E-2,2.907159328E0,1.032020664E1
3.492273470E-1,-1.376665942E-2,2.806602955E0,1.034893703E1
3.512255240E-1,-1.376665942E-2,3.069965124E0,9.999382973E0
3.532237010E-1,-4.249707982E-2,3.113060713E0,9.965864182E0
3.552217740E-1,-5.207388848E-2,2.888005733E0,9.941922188E0
3.572196910E-1,-1.143231317E-1,3.175309896E0,8.902838707E0
3.592176080E-1,-1.286883354E-1,3.074753523E0,9.166201591E0
3.612154200E-1,-1.909375787E-1,3.012504339E0,9.501389503E0
3.632132330E-1,-1.861491799E-1,2.581547976E0,9.573215485E0
3.652110450E-1,-1.717839688E-1,2.418742180E0,9.994594574E0
3.672088580E-1,-2.723404467E-1,2.739565372E0,8.725667953E0
3.692066700E-1,-2.723404467E-1,2.619855165E0,8.888473511E0
3.712044830E-1,-2.675520480E-1,2.203263998E0,9.530119896E0
3.732022950E-1,-2.723404467E-1,2.026093245E0,9.980229378E0
3.752001600E-1,-2.819172442E-1,2.141014814E0,1.008078671E1
3.771980760E-1,-4.064157307E-1,2.595913172E0,9.487024307E0
3.791960450E-1,-4.638765752E-1,2.399588585E0,9.554061890E0
3.811940660E-1,-4.495113790E-1,2.342127800E0,9.424775124E0
3.831921390E-1,-4.590881765E-1,2.160168409E0,1.037287903E1
3.851902640E-1,-4.638765752E-1,2.289455414E0,1.041118622E1
3.871883890E-1,-4.542997777E-1,2.710834980E0,9.520543098E0
3.891865140E-1,-4.590881765E-1,2.916736126E0,9.276334763E0
3.911846390E-1,-3.872621357E-1,2.490568399E0,1.023401546E1
3.931827640E-1,-2.675520480E-1,2.447472572E0,1.014782429E1
3.951808890E-1,-2.148796022E-1,2.854486942E0,9.051279068E0
3.971790140E-1,-1.813607812E-1,2.667739153E0,9.558850288E0
3.991769830E-1,-1.191115379E-1,2.188898802E0,1.086608410E1
4.011749510E-1,-1.574187577E-1,2.524087191E0,9.477447510E0
4.031729200E-1,-2.388216257E-1,2.567182779E0,8.864531517E0
4.051708890E-1,-2.053027898E-1,2.121861219E0,1.019570827E1
4.071687530E-1,-1.765723825E-1,1.954267144E0,1.016218948E1
4.091666180E-1,-1.143231317E-1,2.179322004E0,1.006163311E1
4.111644830E-1,-9.995792061E-2,2.524087191E0,9.333795547E0
4.131623470E-1,5.985504249E-4,2.519298792E0,1.005684471E1
4.151602120E-1,-8.978256024E-3,2.519298792E0,9.266757965E0
4.171580760E-1,5.327098817E-2,2.375646591E0,9.999382973E0
4.191559410E-1,1.921346933E-1,2.217629433E0,1.065539455E1
4.211538060E-1,2.064998895E-1,2.447472572E0,1.029147625E1
4.231516700E-1,2.208651006E-1,2.969408751E0,8.945934296E0
4.251495870E-1,3.357867897E-1,2.710834980E0,9.453505516E0
4.271475560E-1,3.740940094E-1,2.792237759E0,9.252392769E0
4.291455760E-1,4.459200799E-1,2.610278368E0,9.798270226E0
4.311436490E-1,5.225345492E-1,2.715623379E0,9.755174637E0
4.331417220E-1,5.991489887E-1,2.892794132E0,9.214085579E0
4.351397950E-1,6.853402257E-1,2.615066767E0,1.021486187E1
4.371378680E-1,7.475894690E-1,2.557605982E0,1.008078671E1
4.391359410E-1,6.949170232E-1,2.634220362E0,9.927556992E0
4.411340140E-1,6.853402257E-1,2.907159328E0,9.257181168E0
4.431320870E-1,7.284358740E-1,2.677315950E0,9.520543098E0
4.451301600E-1,6.805518270E-1,2.639008760E0,9.467870712E0
4.471282330E-1,6.709750295E-1,2.782660961E0,8.773551941E0
4.491263060E-1,8.242039084E-1,2.188898802E0,1.042076302E1
4.511243780E-1,6.326677799E-1,2.820968151E0,7.964312077E0
4.531224510E-1,6.566098332E-1,2.203263998E0,1.015740108E1
4.551205240E-1,5.704185367E-1,1.920748353E0,1.084214211E1
4.571185970E-1,4.363432527E-1,2.231994629E0,9.477447510E0
4.591166700E-1,1.825578809E-1,1.935113549E0,9.645041466E0
4.611147430E-1,-2.334346622E-2,1.628655672E0,9.750386238E0
4.631128160E-1,-1.478419602E-1,2.035670042E0,9.170989990E0
4.651108890E-1,-2.483984232E-1,2.040458441E0,8.912415504E0
4.671089620E-1,-3.202244639E-1,1.729212165E0,9.554061890E0
4.691070350E-1,-2.962824702E-1,1.676539779E0,1.025795746E1
4.711051080E-1,-3.537433147E-1,1.681328177E0,1.090917969E1
4.731031810E-1,-3.776853085E-1,1.801038265E0,1.019091988E1
4.751012530E-1,-4.638765752E-1,2.107496023E0,8.419210434E0
4.770993260E-1,-5.548562407E-1,1.872864246E0,8.337807655E0
4.790973990E-1,-4.973953962E-1,1.451484799E0,9.649829865E0
4.810954720E-1,-3.537433147E-1,1.389235497E0,1.081820011E1
4.830935450E-1,-2.962824702E-1,1.676539779E0,1.057399178E1
4.850914620E-1,-1.957259923E-1,1.705270171E0,1.043512821E1
4.870893780E-1,-1.765723825E-1,1.868075848E0,9.051279068E0
4.890872950E-1,-1.622071713E-1,1.537676096E0,9.324218750E0
4.910852120E-1,-1.143231317E-1,1.556829691E0,1.012388229E1
4.930831280E-1,-4.189853091E-3,1.671751380E0,1.038724422E1
4.950810450E-1,1.346738487E-1,1.978209138E0,9.611522675E0
4.970789620E-1,3.166331649E-1,1.767519355E0,9.592369080E0
4.990768780E-1,4.219780564E-1,1.872864246E0,9.487024307E0
5.010747950E-1,5.560533404E-1,1.705270171E0,1.006642151E1
5.030727120E-1,5.991489887E-1,1.686116576E0,9.678560257E0
5.050706280E-1,6.757634282E-1,2.097919226E0,9.209297180E0
5.070685970E-1,8.194155097E-1,1.858499050E0,9.597157478E0
5.090666180E-1,9.774328470E-1,1.700481772E0,9.865307808E0
5.110646910E-1,1.106719732E0,2.016516447E0,9.884461403E0
5.130628160E-1,1.164180517E0,1.978209138E0,1.003290176E1
5.150609410E-1,1.164180517E0,1.911171556E0,1.054526138E1
5.170590660E-1,1.140238523E0,2.045246840E0,9.889249802E0
5.190571910E-1,1.063624144E0,1.643020868E0,1.076552773E1
5.210553160E-1,1.149815321E0,1.829768658E0,9.788693428E0
5.230534410E-1,1.149815321E0,2.198475599E0,9.137471199E0
5.250515660E-1,1.087566137E0,2.361281395E0,8.969876289E0
5.270496910E-1,1.092354536E0,2.150591612E0,9.132682800E0
5.290478160E-1,1.188122630E0,1.681328177E0,9.740809441E0
5.310459410E-1,1.374870300E0,1.547252893E0,1.021486187E1
5.330440660E-1,1.384447098E0,1.355716705E0,1.080862331E1
5.350421910E-1,1.341351509E0,1.623867273E0,9.745597839E0
5.370403160E-1,1.331774712E0,1.901594758E0,8.811859131E0
5.390384410E-1,1.236006618E0,1.877652645E0,8.644265175E0
5.410365660E-1,1.116296530E0,1.417966008E0,9.314641953E0
5.430346910E-1,1.159392118E0,1.049258947E0,1.062187576E1
5.450328160E-1,1.068412542E0,1.379658699E0,1.024359226E1
5.470309410E-1,8.816647530E-1,1.413177609E0,9.889249802E0
5.490290660E-1,9.678560495E-1,1.532887697E0,8.629899979E0
5.510271910E-1,8.577227592E-1,1.159392118E0,9.003395081E0
5.530253160E-1,7.523778677E-1,8.002619147E-1,1.032978344E1
5.550234410E-1,7.715315223E-1,9.103952050E-1,1.014303589E1
5.570215660E-1,7.332242727E-1,1.255160213E0,9.396044731E0
5.590196910E-1,6.422445774E-1,1.547252893E0,8.342596054E0
5.610178160E-1,4.890156984E-1,9.917980433E-1,9.951498985E0
5.630159410E-1,3.932476342E-1,5.943605900E-1,1.063624096E1
5.650140660E-1,2.448071241E-1,6.566098332E-1,9.582792282E0
5.670121910E-1,1.777694821E-1,8.768763542E-1,8.701725960E0
5.690103160E-1,9.636662155E-2,7.044938207E-1,9.118317604E0
5.710084410E-1,9.157821536E-2,4.507084787E-1,9.769539833E0
5.730065660E-1,1.107318252E-1,4.028244317E-1,1.039682102E1
5.750046910E-1,3.411737457E-2,2.448071241E-1,1.061708736E1
5.770028160E-1,1.011550203E-1,4.985924959E-1,9.779116631E0
5.790009410E-1,1.346738487E-1,7.763199210E-1,8.969876289E0
5.809990660E-1,1.921346933E-1,5.752069354E-1,9.961075783E0
5.829971910E-1,1.921346933E-1,4.315548539E-1,9.846154213E0
5.849953160E-1,3.022679687E-1,4.554968774E-1,9.491812706E0
5.869934410E-1,3.597288132E-1,5.321113467E-1,9.443928719E0
5.889914620E-1,5.033808947E-1,2.591723204E-1,1.075116253E1
5.909894830E-1,6.853402257E-1,5.943605900E-1,9.736021042E0
5.929875030E-1,7.380126715E-1,5.560533404E-1,9.659406662E0
5.949855240E-1,9.439139962E-1,4.507084787E-1,1.042555141E1
5.969835450E-1,1.125873327E0,8.385691643E-1,9.434351921E0
5.989815660E-1,1.283890605E0,8.672995567E-1,9.271546364E0
6.009795870E-1,1.446696401E0,6.805518270E-1,1.010472870E1
6.029776080E-1,1.537676096E0,5.608417392E-1,1.060751057E1
6.049756280E-1,1.537676096E0,1.034893632E0,9.721655846E0
6.069736490E-1,1.609502077E0,4.124012291E-1,1.138802052E1
6.089716700E-1,1.652597666E0,1.451484799E0,8.605957985E0
6.109697430E-1,1.643020868E0,1.518522382E0,8.170213699E0
6.129678680E-1,1.604713678E0,7.571662664E-1,9.913191795E0
6.149659930E-1,1.724423766E0,1.729810685E-1,1.179024601E1
6.169641180E-1,1.801038265E0,9.151836038E-1,9.396044731E0
6.189622430E-1,1.777096152E0,1.221641421E0,9.458293915E0
6.209603680E-1,1.777096152E0,9.487023950E-1,9.836577415E0
6.229584930E-1,1.575983286E0,7.906851172E-1,1.058356857E1
6.249566180E-1,1.322197914E0,1.250371814E0,9.506177902E0
6.269547430E-1,1.149815321E0,1.437119603E0,8.443152428E0
6.289528680E-1,9.199720025E-1,1.197699428E0,8.471882820E0
6.309509930E-1,7.140706778E-1,7.954735160E-1,9.563638687E0
6.329491180E-1,5.177460909E-1,4.650736749E-1,1.037766743E1
6.349472430E-1,3.980360329E-1,9.439139962E-1,9.137471199E0
6.369453680E-1,3.309983909E-1,1.240795016E0,8.146271706E0
6.389434930E-1,2.064998895E-1,8.816647530E-1,8.615534782E0
6.409416180E-1,1.155202314E-1,3.022679687E-1,1.071285534E1
6.429397430E-1,-1.143231317E-1,-6.165069342E-2,1.167532444E1
6.449378680E-1,-1.813607812E-1,2.926911712E-1,9.611522675E0
6.469359930E-1,-2.675520480E-1,3.214215636E-1,8.759186745E0
6.489341180E-1,-2.627636492E-1,5.799953341E-1,8.902838707E0
6.509322430E-1,-3.441664875E-1,3.022679687E-1,1.009515190E1
6.529303680E-1,-4.686649740E-1,1.155202314E-1,1.021007347E1
6.549284930E-1,-6.602011323E-1,-3.292027488E-2,9.726444244E0
6.569266180E-1,-6.937199235E-1,3.214215636E-1,8.658630371E0
6.589247430E-1,-7.032967210E-1,-2.483984232E-1,9.736021042E0
6.609228680E-1,-8.325836658E-1,-4.973953962E-1,1.088044930E1
6.629209930E-1,-9.666589499E-1,-4.734533727E-1,1.097142887E1
6.649191180E-1,-9.810241461E-1,-1.861491799E-1,9.113529205E0
6.669171910E-1,-1.172560334E0,-7.559691668E-1,1.009994030E1
6.689151600E-1,-1.148618221E0,-6.171054840E-1,1.014782429E1
6.709130760E-1,-1.186925530E0,1.346738487E-1,8.471882820E0
6.729109930E-1,-1.100734234E0,-4.728548229E-2,9.458293915E0
6.749089100E-1,-1.038484931E0,-7.032967210E-1,1.082298851E1
6.769068260E-1,-9.810241461E-1,-7.032967210E-1,1.081820011E1
6.789047430E-1,-1.067215443E0,1.442506462E-1,9.228450775E0
6.809026600E-1,-1.076792240E0,6.757634282E-1,7.293935299E0
6.829005760E-1,-9.187749028E-1,-6.165069342E-2,9.276334763E0
6.848984930E-1,-8.469488621E-1,-9.139865041E-1,1.161307526E1
6.868964100E-1,-8.804676533E-1,-1.316212416E0,1.177109241E1
6.888943260E-1,-8.565256596E-1,-6.937199235E-1,9.568427086E0
6.908922430E-1,-8.613140583E-1,1.442506462E-1,7.049726963E0
6.928901600E-1,-7.032967210E-1,-5.686229095E-2,8.653841972E0
6.948880760E-1,-6.123170853E-1,-2.723404467E-1,9.525331497E0
6.968859930E-1,-5.835866928E-1,-5.404910445E-1,1.133055973E1
6.988839100E-1,-5.309142470E-1,-8.421604633E-1,1.140717411E1
7.008818260E-1,-5.692214370E-1,-1.091157436E0,1.094748688E1
7.028797430E-1,-5.357026458E-1,1.490390599E-1,7.677007675E0
7.048777120E-1,-5.740098357E-1,3.453635871E-1,8.055291176E0
7.068757330E-1,-4.351461530E-1,5.327098817E-2,9.003395081E0
7.088738060E-1,-3.872621357E-1,-4.064157307E-1,1.034414864E1
7.108718780E-1,-3.489548862E-1,-5.692214370E-1,1.062187576E1
7.128699510E-1,-3.202244639E-1,-4.112041295E-1,1.013824749E1
7.148680240E-1,-2.723404467E-1,4.369417951E-2,9.419986725E0
7.168660970E-1,-2.196680009E-1,5.386953708E-3,9.692925453E0
7.188641700E-1,-2.723404467E-1,-3.537433147E-1,9.994594574E0
7.208622430E-1,-2.292448133E-1,-9.038111567E-2,8.720879555E0
7.228603160E-1,-2.244564146E-1,-2.531868219E-1,9.625887871E0
7.248583890E-1,-1.143231317E-1,-4.926069975E-1,9.788693428E0
7.268564620E-1,-3.292027488E-2,-6.602011323E-1,1.018134308E1
7.288545350E-1,-5.207388848E-2,-1.344942808E0,1.144548130E1
7.308526080E-1,1.017535757E-2,-8.325836658E-1,9.736021042E0
7.328506810E-1,2.591723204E-1,2.974795699E-1,7.293935299E0
7.348487530E-1,3.309983909E-1,-1.143231317E-1,9.281123161E0
7.368468260E-1,5.225345492E-1,-6.218938828E-1,1.103846741E1
7.388448990E-1,5.895721912E-1,-9.570821524E-1,1.179024601E1
7.408429720E-1,5.752069354E-1,-8.661024570E-1,1.047822380E1
7.428410970E-1,5.895721912E-1,-4.734533727E-1,9.036913872E0
7.448392740E-1,6.613982320E-1,-1.909375787E-1,8.529343605E0
7.468374510E-1,7.140706778E-1,-4.495113790E-1,8.984241486E0
7.488356280E-1,6.901286244E-1,-1.105522633E0,1.093791008E1
7.508338060E-1,7.428010702E-1,-7.511807680E-1,9.592369080E0
7.528319830E-1,7.571662664E-1,-5.069721937E-1,8.802282333E0
7.548301600E-1,7.428010702E-1,-6.171054840E-1,8.898050308E0
7.568283370E-1,8.050503135E-1,-1.095945835E0,1.022443867E1
7.588264620E-1,9.008184075E-1,-1.062427044E0,9.731232643E0
7.608245350E-1,8.625111580E-1,-1.335366011E0,1.038245583E1
7.628226080E-1,8.864531517E-1,-1.230021119E0,9.970652580E0
7.648206810E-1,8.002619147E-1,-1.158195019E0,1.028189945E1
7.668187530E-1,8.098387122E-1,-1.105522633E0,9.362525940E0
7.688167220E-1,7.523778677E-1,-1.167771935E0,9.271546364E0
7.708146910E-1,6.518214345E-1,-1.177348733E0,8.974664688E0
7.728126600E-1,5.225345492E-1,-1.493383288E0,9.597157478E0
